Rank,TZ,DAIO,Yr,mvts
Base,Austria,AD,2021,160232
Base,Austria,AD,2022,258828
Base,Austria,AD,2023,306584.0216
Base,Austria,AD,2024,336607.2156
Base,Austria,AD,2025,344079.2785
Base,Austria,AD,2026,349299.4076
Base,Austria,AD,2027,354092.4427
Base,Austria,AD,2028,358824.9202
Base,Austria,AD,2029,361665.3708
Base,Austria,TAD,2005,308944
Base,Austria,TAD,2006,313684
Base,Austria,TAD,2007,337470
Base,Austria,TAD,2008,352659
Base,Austria,TAD,2009,316586
Base,Austria,TAD,2010,321327
Base,Austria,TAD,2011,323037
Base,Austria,TAD,2012,312087
Base,Austria,TAD,2013,296766
Base,Austria,TAD,2014,298960
Base,Austria,TAD,2015,297098
Base,Austria,TAD,2016,294885
Base,Austria,TAD,2017,295247
Base,Austria,TAD,2018,312867
Base,Austria,TAD,2019,338108
Base,Austria,TAD,2020,137840
Base,Austria,TAD,2021,160232
Base,Austria,TAD,2022,258828
Base,Austria,TAD,2023,306584.0216
Base,Austria,TAD,2024,336607.2156
Base,Austria,TAD,2025,344079.2785
Base,Austria,TAD,2026,349299.4076
Base,Austria,TAD,2027,354092.4427
Base,Austria,TAD,2028,358824.9202
Base,Austria,TAD,2029,361665.3708
Base,Austria,O,2005,711707
Base,Austria,O,2006,749737
Base,Austria,O,2007,812492
Base,Austria,O,2008,820805
Base,Austria,O,2009,767172
Base,Austria,O,2010,787793
Base,Austria,O,2011,807350
Base,Austria,O,2012,797371
Base,Austria,O,2013,794403
Base,Austria,O,2014,832059
Base,Austria,O,2015,851495
Base,Austria,O,2016,861793
Base,Austria,O,2017,919234
Base,Austria,O,2018,970661
Base,Austria,O,2019,1009864
Base,Austria,O,2020,442433
Base,Austria,O,2021,568726
Base,Austria,O,2022,997237
Base,Austria,O,2023,1076957.507
Base,Austria,O,2024,1156556.558
Base,Austria,O,2025,1183913.46
Base,Austria,O,2026,1201519.958
Base,Austria,O,2027,1216325.562
Base,Austria,O,2028,1232634.935
Base,Austria,O,2029,1242626.248
Base,Austria,TO,2005,711707
